,prob_A,prob_D,prob_C,prob_B,Run,Average driving time,Probs,Worst bridge delay,Worst bridge name
70,0.05,0.1,0.2,0.4,70,999.7572580645161,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",141.7350092795955,MEGHNA BRIDGE
71,0.05,0.1,0.2,0.4,71,770.9805749805749,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",38.23565487812817,FATAPUR BOX CULVERT
72,0.05,0.1,0.2,0.4,72,620.8417047184171,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",37.58186303267389,RAZAPARA RCC GIDER BRIDGE
73,0.05,0.1,0.2,0.4,73,823.0931871574002,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",141.13469675174386,MEGHNA BRIDGE
74,0.05,0.1,0.2,0.4,74,993.4312297734627,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",140.9359318003421,MEGHNA BRIDGE
75,0.05,0.1,0.2,0.4,75,886.8769841269841,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",140.2344307781916,Daud Kandi Bridge
76,0.05,0.1,0.2,0.4,76,689.9877017678708,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",37.918053144663645,DHAMAKHALI BRIDGE
77,0.05,0.1,0.2,0.4,77,720.3320463320464,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",141.10450388996114,MEGHNA BRIDGE
78,0.05,0.1,0.2,0.4,78,742.2737819025522,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",139.4632899972722,KANCHPUR PC GIRDER BRIDGE
79,0.05,0.1,0.2,0.4,79,845.8034591194969,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",140.27202167426933,KANCHPUR PC GIRDER BRIDGE
